experiment,status,time,error
Baseline Comparison (Coordinate-wise vs MultiDimSPCI),success,118.55742478370667,
Ablation 1: Rank Approximation,success,145.86647653579712,
Ablation 2: Calibration Set Size,success,119.79439401626587,
Ablation 3: Quantile Regression vs Empirical Quantile,success,61.095651626586914,
Ablation 4: Past Window Size,success,144.8707184791565,
Ablation 5: Global vs Local Ellipsoids,success,74.20039463043213,
