method,subset,alpha,coverage,volume,time,n_calib,n_test
coordinate_wise,eth,0.1,0.918918918918919,88716.05887351785,74.38562607765198,327,37
multidimspci,eth,0.1,0.9459459459459459,1.2774341087734298e-05,11.099332332611084,327,37,
coordinate_wise,eth,0.1,0.918918918918919,88716.05887351785,74.33610987663269,327,37
multidimspci,eth,0.1,0.9459459459459459,1.2774341087734298e-05,11.094817638397217,327,37,
